,LSLR Program,Public or Consumer,Work Address,Status,Zip,Ward,Date Completed,program,ZIP,BOTH AS REQUIRED or Consumer,Type of Service,completed_year,completed_month_year,completed_day,clean_address,id,program_clean_address,full_address,row,classification_for_entire_service_line,stnum1,stnum2,stdir,stname,sttype,zip,geocoder,lat,long,geoid,matched_address,m_is_intersection,_merge
647,CIP WM LSLR,PUBLIC,2229 W FLETCHER ST,Completed,,32.0,2025-12-09 00:00:00,CIP Water Main,60618.0,,,2025.0,12/2025,12-09,2229 W FLETCHER ST,702,CIP Water Main 2229 W FLETCHER ST,,,,,,,,,,,,,,,,left_only
648,CIP WM LSLR,CONSUMER,2119 W FLETCHER ST,Completed,,32.0,2025-12-09 00:00:00,CIP Water Main,60618.0,,,2025.0,12/2025,12-09,2119 W FLETCHER ST,703,CIP Water Main 2119 W FLETCHER ST,,,,,,,,,,,,,,,,left_only
649,Block Level LSLR,PUBLIC,7535 S MARSHFIELD AVE,Completed,,17.0,2025-12-09 00:00:00,Block Level LSLR,60620.0,,,2025.0,12/2025,12-09,7535 S MARSHFIELD AVE,704,Block Level LSLR 7535 S MARSHFIELD AVE,,,,,,,,,,,,,,,,left_only
650,CIP SM LSLR,CONSUMER,3245 S CANAL ST,Completed,,11.0,2025-12-09 00:00:00,CIP Sewer Main,60616.0,,,2025.0,12/2025,12-09,3245 S CANAL ST,705,CIP Sewer Main 3245 S CANAL ST,,,,,,,,,,,,,,,,left_only
651,Block Level LSLR,CONSUMER,7912 S JEFFERY BLVD,Completed,,8.0,2025-12-09 00:00:00,Block Level LSLR,60617.0,,,2025.0,12/2025,12-09,7912 S JEFFERY BLVD,706,Block Level LSLR 7912 S JEFFERY BLVD,,,,,,,,,,,,,,,,left_only
652,Breaks & Leaks LSLR,PUBLIC,3528 W DOUGLAS BLVD,Completed,,24.0,2025-12-09 00:00:00,Breaks Leaks,60623.0,,,2025.0,12/2025,12-09,3528 W DOUGLAS BLVD,707,Breaks Leaks 3528 W DOUGLAS BLVD,,,,,,,,,,,,,,,,left_only
653,Block Level LSLR,PUBLIC,7912 S JEFFERY BLVD,Completed,,8.0,2025-12-09 00:00:00,Block Level LSLR,60617.0,,,2025.0,12/2025,12-09,7912 S JEFFERY BLVD,708,Block Level LSLR 7912 S JEFFERY BLVD,,,,,,,,,,,,,,,,left_only
654,Breaks & Leaks LSLR,CONSUMER,3528 W DOUGLAS BLVD,Completed,,24.0,2025-12-09 00:00:00,Breaks Leaks,60623.0,,,2025.0,12/2025,12-09,3528 W DOUGLAS BLVD,709,Breaks Leaks 3528 W DOUGLAS BLVD,,,,,,,,,,,,,,,,left_only
655,Block Level LSLR,CONSUMER,2501 W 59TH ST,Completed,,16.0,2025-12-09 00:00:00,Block Level LSLR,60629.0,,,2025.0,12/2025,12-09,2501 W 59TH ST,710,Block Level LSLR 2501 W 59TH ST,,,,,,,,,,,,,,,,left_only
656,Breaks & Leaks LSLR,PUBLIC,915 W 32ND ST,Completed,,11.0,2025-12-09 00:00:00,Breaks Leaks,60608.0,,,2025.0,12/2025,12-09,915 W 32ND ST,711,Breaks Leaks 915 W 32ND ST,,,,,,,,,,,,,,,,left_only
657,Equity LSLR,BOTH AS REQUIRED,11800 S BISHOP ST,Completed,,21.0,2025-12-09 00:00:00,Equity,60643.0,,,2025.0,12/2025,12-09,11800 S BISHOP ST,712,Equity 11800 S BISHOP ST,,,,,,,,,,,,,,,,left_only
658,CIP WM LSLR,PUBLIC,8414 S PAULINA ST,Completed,,18.0,2025-12-09 00:00:00,CIP Water Main,60620.0,,,2025.0,12/2025,12-09,8414 S PAULINA ST,713,CIP Water Main 8414 S PAULINA ST,,,,,,,,,,,,,,,,left_only
659,Breaks & Leaks LSLR,CONSUMER,10634 S LANGLEY AVE,Completed,,9.0,2025-12-09 00:00:00,Breaks Leaks,60628.0,,,2025.0,12/2025,12-09,10634 S LANGLEY AVE,714,Breaks Leaks 10634 S LANGLEY AVE,,,,,,,,,,,,,,,,left_only
660,Breaks & Leaks LSLR,PUBLIC,5009 S CALIFORNIA AVE,Completed,,15.0,2025-12-09 00:00:00,Breaks Leaks,60632.0,,,2025.0,12/2025,12-09,5009 S CALIFORNIA AVE,715,Breaks Leaks 5009 S CALIFORNIA AVE,,,,,,,,,,,,,,,,left_only
661,Breaks & Leaks LSLR,CONSUMER,6910 N OLEANDER AVE,Completed,,41.0,2025-12-09 00:00:00,Breaks Leaks,60631.0,,,2025.0,12/2025,12-09,6910 N OLEANDER AVE,716,Breaks Leaks 6910 N OLEANDER AVE,,,,,,,,,,,,,,,,left_only
662,Breaks & Leaks LSLR,PUBLIC,10634 S LANGLEY AVE,Completed,,9.0,2025-12-09 00:00:00,Breaks Leaks,60628.0,,,2025.0,12/2025,12-09,10634 S LANGLEY AVE,717,Breaks Leaks 10634 S LANGLEY AVE,,,,,,,,,,,,,,,,left_only
663,CIP WM LSLR,CONSUMER,8344 S PAULINA ST,Completed,,18.0,2025-12-09 00:00:00,CIP Water Main,60620.0,,,2025.0,12/2025,12-09,8344 S PAULINA ST,718,CIP Water Main 8344 S PAULINA ST,,,,,,,,,,,,,,,,left_only
664,CIP WM LSLR,CONSUMER,8420 S PAULINA ST,Completed,,18.0,2025-12-09 00:00:00,CIP Water Main,60620.0,,,2025.0,12/2025,12-09,8420 S PAULINA ST,719,CIP Water Main 8420 S PAULINA ST,,,,,,,,,,,,,,,,left_only
665,CIP WM LSLR,PUBLIC,5018 W WINNEMAC AVE,Completed,,45.0,2025-12-09 00:00:00,CIP Water Main,60630.0,,,2025.0,12/2025,12-09,5018 W WINNEMAC AVE,720,CIP Water Main 5018 W WINNEMAC AVE,,,,,,,,,,,,,,,,left_only
666,Breaks & Leaks LSLR,PUBLIC,6910 N OLEANDER AVE,Completed,,41.0,2025-12-09 00:00:00,Breaks Leaks,60631.0,,,2025.0,12/2025,12-09,6910 N OLEANDER AVE,721,Breaks Leaks 6910 N OLEANDER AVE,,,,,,,,,,,,,,,,left_only
667,CIP WM LSLR,CONSUMER,11316 S VINCENNES AVE,Completed,,19.0,2025-12-09 00:00:00,CIP Water Main,60643.0,,,2025.0,12/2025,12-09,11316 S VINCENNES AVE,722,CIP Water Main 11316 S VINCENNES AVE,,,,,,,,,,,,,,,,left_only
668,CIP WM LSLR,CONSUMER,5018 W WINNEMAC AVE,Completed,,45.0,2025-12-09 00:00:00,CIP Water Main,60630.0,,,2025.0,12/2025,12-09,5018 W WINNEMAC AVE,723,CIP Water Main 5018 W WINNEMAC AVE,,,,,,,,,,,,,,,,left_only
669,CIP WM LSLR,PUBLIC,11316 S VINCENNES AVE,Completed,,19.0,2025-12-09 00:00:00,CIP Water Main,60643.0,,,2025.0,12/2025,12-09,11316 S VINCENNES AVE,724,CIP Water Main 11316 S VINCENNES AVE,,,,,,,,,,,,,,,,left_only
670,CIP WM LSLR,CONSUMER,11317 S VINCENNES AVE,Completed,,21.0,2025-12-09 00:00:00,CIP Water Main,60643.0,,,2025.0,12/2025,12-09,11317 S VINCENNES AVE,725,CIP Water Main 11317 S VINCENNES AVE,,,,,,,,,,,,,,,,left_only
671,Breaks & Leaks LSLR,CONSUMER,2620 W 71ST ST,Completed,,17.0,2025-12-09 00:00:00,Breaks Leaks,60629.0,,,2025.0,12/2025,12-09,2620 W 71ST ST,726,Breaks Leaks 2620 W 71ST ST,,,,,,,,,,,,,,,,left_only
672,Breaks & Leaks LSLR,PUBLIC,2620 W 71ST ST,Completed,,17.0,2025-12-09 00:00:00,Breaks Leaks,60629.0,,,2025.0,12/2025,12-09,2620 W 71ST ST,727,Breaks Leaks 2620 W 71ST ST,,,,,,,,,,,,,,,,left_only
673,CIP WM LSLR,PUBLIC,8344 S PAULINA ST,Completed,,18.0,2025-12-09 00:00:00,CIP Water Main,60620.0,,,2025.0,12/2025,12-09,8344 S PAULINA ST,728,CIP Water Main 8344 S PAULINA ST,,,,,,,,,,,,,,,,left_only
674,Block Level LSLR,PUBLIC,2501 W 59TH ST,Completed,,16.0,2025-12-09 00:00:00,Block Level LSLR,60629.0,,,2025.0,12/2025,12-09,2501 W 59TH ST,729,Block Level LSLR 2501 W 59TH ST,,,,,,,,,,,,,,,,left_only
675,CIP WM LSLR,PUBLIC,11317 S VINCENNES AVE,Completed,,21.0,2025-12-09 00:00:00,CIP Water Main,60643.0,,,2025.0,12/2025,12-09,11317 S VINCENNES AVE,730,CIP Water Main 11317 S VINCENNES AVE,,,,,,,,,,,,,,,,left_only
676,CIP WM LSLR,PUBLIC,11321 S VINCENNES AVE,Completed,,21.0,2025-12-09 00:00:00,CIP Water Main,60643.0,,,2025.0,12/2025,12-09,11321 S VINCENNES AVE,731,CIP Water Main 11321 S VINCENNES AVE,,,,,,,,,,,,,,,,left_only
677,Breaks & Leaks LSLR,CONSUMER,8555 57 S JUSTINE ST,Completed,,21.0,2025-12-09 00:00:00,Breaks Leaks,60620.0,,,2025.0,12/2025,12-09,8555 S JUSTINE ST,732,Breaks Leaks 8555 S JUSTINE ST,,,,,,,,,,,,,,,,left_only
678,Breaks & Leaks LSLR,CONSUMER,7019 S WOOD ST,Completed,,17.0,2025-12-09 00:00:00,Breaks Leaks,60636.0,,,2025.0,12/2025,12-09,7019 S WOOD ST,733,Breaks Leaks 7019 S WOOD ST,,,,,,,,,,,,,,,,left_only
679,CIP SM LSLR,CONSUMER,3215 S CANAL ST,Completed,,11.0,2025-12-09 00:00:00,CIP Sewer Main,60616.0,,,2025.0,12/2025,12-09,3215 S CANAL ST,734,CIP Sewer Main 3215 S CANAL ST,,,,,,,,,,,,,,,,left_only
680,Breaks & Leaks LSLR,CONSUMER,3623 W 56TH ST,Completed,,23.0,2025-12-09 00:00:00,Breaks Leaks,60629.0,,,2025.0,12/2025,12-09,3623 W 56TH ST,735,Breaks Leaks 3623 W 56TH ST,,,,,,,,,,,,,,,,left_only
681,Equity LSLR,BOTH AS REQUIRED,551 E 104TH ST,Completed,,9.0,2025-12-09 00:00:00,Equity,60628.0,,,2025.0,12/2025,12-09,551 E 104TH ST,736,Equity 551 E 104TH ST,,,,,,,,,,,,,,,,left_only
682,Breaks & Leaks LSLR,PUBLIC,9873 S CHARLES ST,Completed,,19.0,2025-12-09 00:00:00,Breaks Leaks,60643.0,,,2025.0,12/2025,12-09,9873 S CHARLES ST,737,Breaks Leaks 9873 S CHARLES ST,,,,,,,,,,,,,,,,left_only
683,Breaks & Leaks LSLR,CONSUMER,9873 S CHARLES ST,Completed,,19.0,2025-12-09 00:00:00,Breaks Leaks,60643.0,,,2025.0,12/2025,12-09,9873 S CHARLES ST,738,Breaks Leaks 9873 S CHARLES ST,,,,,,,,,,,,,,,,left_only
684,Breaks & Leaks LSLR,CONSUMER,2904 N NAGLE AVE,Completed,,36.0,2025-12-09 00:00:00,Breaks Leaks,60634.0,,,2025.0,12/2025,12-09,2904 N NAGLE AVE,739,Breaks Leaks 2904 N NAGLE AVE,,,,,,,,,,,,,,,,left_only
685,Breaks & Leaks LSLR,PUBLIC,2904 N NAGLE AVE,Completed,,36.0,2025-12-09 00:00:00,Breaks Leaks,60634.0,,,2025.0,12/2025,12-09,2904 N NAGLE AVE,740,Breaks Leaks 2904 N NAGLE AVE,,,,,,,,,,,,,,,,left_only
686,Breaks & Leaks LSLR,CONSUMER,6646 W RAVEN ST,Completed,,41.0,2025-12-09 00:00:00,Breaks Leaks,60631.0,,,2025.0,12/2025,12-09,6646 W RAVEN ST,741,Breaks Leaks 6646 W RAVEN ST,,,,,,,,,,,,,,,,left_only
687,Breaks & Leaks LSLR,PUBLIC,7019 S WOOD ST,Completed,,17.0,2025-12-09 00:00:00,Breaks Leaks,60636.0,,,2025.0,12/2025,12-09,7019 S WOOD ST,742,Breaks Leaks 7019 S WOOD ST,,,,,,,,,,,,,,,,left_only
688,Breaks & Leaks LSLR,PUBLIC,8555 57 S JUSTINE ST,Completed,,21.0,2025-12-09 00:00:00,Breaks Leaks,60620.0,,,2025.0,12/2025,12-09,8555 S JUSTINE ST,743,Breaks Leaks 8555 S JUSTINE ST,,,,,,,,,,,,,,,,left_only
689,CIP WM LSLR,PUBLIC,8347 S PAULINA ST,Completed,,18.0,2025-12-09 00:00:00,CIP Water Main,60620.0,,,2025.0,12/2025,12-09,8347 S PAULINA ST,744,CIP Water Main 8347 S PAULINA ST,,,,,,,,,,,,,,,,left_only
690,Breaks & Leaks LSLR,PUBLIC,4048 W ARGYLE ST,Completed,,39.0,2025-12-09 00:00:00,Breaks Leaks,60630.0,,,2025.0,12/2025,12-09,4048 W ARGYLE ST,745,Breaks Leaks 4048 W ARGYLE ST,,,,,,,,,,,,,,,,left_only
691,CIP WM LSLR,CONSUMER,8347 S PAULINA ST,Completed,,18.0,2025-12-09 00:00:00,CIP Water Main,60620.0,,,2025.0,12/2025,12-09,8347 S PAULINA ST,746,CIP Water Main 8347 S PAULINA ST,,,,,,,,,,,,,,,,left_only
692,,CONSUMER,11156 S HOYNE AVE,Completed,,19.0,2025-12-09 00:00:00,Daycare Private,60643.0,,Daycares,2025.0,12/2025,12-09,11156 S HOYNE AVE,748,Daycare Private 11156 S HOYNE AVE,,,,,,,,,,,,,,,,left_only
693,Breaks & Leaks LSLR,PUBLIC,3623 W 56TH ST,Completed,,23.0,2025-12-09 00:00:00,Breaks Leaks,60629.0,,,2025.0,12/2025,12-09,3623 W 56TH ST,749,Breaks Leaks 3623 W 56TH ST,,,,,,,,,,,,,,,,left_only
694,Breaks & Leaks LSLR,PUBLIC,941 W 32ND ST,Completed,,11.0,2025-12-09 00:00:00,Breaks Leaks,60608.0,,,2025.0,12/2025,12-09,941 W 32ND ST,750,Breaks Leaks 941 W 32ND ST,,,,,,,,,,,,,,,,left_only
695,Breaks & Leaks LSLR,PUBLIC,4914 W NEWPORT AVE,Completed,,31.0,2025-12-09 00:00:00,Breaks Leaks,60641.0,,,2025.0,12/2025,12-09,4914 W NEWPORT AVE,751,Breaks Leaks 4914 W NEWPORT AVE,,,,,,,,,,,,,,,,left_only
696,Block Level LSLR,CONSUMER,7535 S MARSHFIELD AVE,Completed,,17.0,2025-12-09 00:00:00,Block Level LSLR,60620.0,,,2025.0,12/2025,12-09,7535 S MARSHFIELD AVE,752,Block Level LSLR 7535 S MARSHFIELD AVE,,,,,,,,,,,,,,,,left_only
697,Block Level LSLR,PUBLIC,7915 S JEFFERY BLVD,Completed,,8.0,2025-12-09 00:00:00,Block Level LSLR,60617.0,,,2025.0,12/2025,12-09,7915 S JEFFERY BLVD,753,Block Level LSLR 7915 S JEFFERY BLVD,,,,,,,,,,,,,,,,left_only
698,CIP SM LSLR,PUBLIC,3215 S CANAL ST,Completed,,11.0,2025-12-09 00:00:00,CIP Sewer Main,60616.0,,,2025.0,12/2025,12-09,3215 S CANAL ST,754,CIP Sewer Main 3215 S CANAL ST,,,,,,,,,,,,,,,,left_only
699,Breaks & Leaks LSLR,PUBLIC,1451 W 105TH ST,Completed,,19.0,2025-12-09 00:00:00,Breaks Leaks,60643.0,,,2025.0,12/2025,12-09,1451 W 105TH ST,755,Breaks Leaks 1451 W 105TH ST,,,,,,,,,,,,,,,,left_only
700,CIP SM LSLR,PUBLIC,3245 S CANAL ST,Completed,,11.0,2025-12-09 00:00:00,CIP Sewer Main,60616.0,,,2025.0,12/2025,12-09,3245 S CANAL ST,756,CIP Sewer Main 3245 S CANAL ST,,,,,,,,,,,,,,,,left_only
701,CIP WM LSLR,PUBLIC,914 N ST LOUIS AVE,Completed,,27.0,2025-12-09 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-09,914 N ST LOUIS AVE,757,CIP Water Main 914 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
702,CIP WM LSLR,CONSUMER,11321 S VINCENNES AVE,Completed,,21.0,2025-12-09 00:00:00,CIP Water Main,60643.0,,,2025.0,12/2025,12-09,11321 S VINCENNES AVE,758,CIP Water Main 11321 S VINCENNES AVE,,,,,,,,,,,,,,,,left_only
703,CIP WM LSLR,PUBLIC,915 N ST LOUIS AVE,Completed,,27.0,2025-12-09 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-09,915 N ST LOUIS AVE,759,CIP Water Main 915 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
704,Block Level LSLR,PUBLIC,5925 S CAMPBELL AVE,Completed,,16.0,2025-12-09 00:00:00,Block Level LSLR,60629.0,,,2025.0,12/2025,12-09,5925 S CAMPBELL AVE,760,Block Level LSLR 5925 S CAMPBELL AVE,,,,,,,,,,,,,,,,left_only
705,CIP WM LSLR,CONSUMER,915 N ST LOUIS AVE,Completed,,27.0,2025-12-09 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-09,915 N ST LOUIS AVE,761,CIP Water Main 915 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
706,Breaks & Leaks LSLR,PUBLIC,3128 S KOMENSKY AVE,Completed,,22.0,2025-12-09 00:00:00,Breaks Leaks,60623.0,,,2025.0,12/2025,12-09,3128 S KOMENSKY AVE,762,Breaks Leaks 3128 S KOMENSKY AVE,,,,,,,,,,,,,,,,left_only
707,CIP WM LSLR,PUBLIC,2119 W FLETCHER ST,Completed,,32.0,2025-12-09 00:00:00,CIP Water Main,60618.0,,,2025.0,12/2025,12-09,2119 W FLETCHER ST,763,CIP Water Main 2119 W FLETCHER ST,,,,,,,,,,,,,,,,left_only
708,Breaks & Leaks LSLR,CONSUMER,1451 W 105TH ST,Completed,,19.0,2025-12-09 00:00:00,Breaks Leaks,60643.0,,,2025.0,12/2025,12-09,1451 W 105TH ST,764,Breaks Leaks 1451 W 105TH ST,,,,,,,,,,,,,,,,left_only
709,CIP WM LSLR,CONSUMER,914 N ST LOUIS AVE,Completed,,27.0,2025-12-09 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-09,914 N ST LOUIS AVE,765,CIP Water Main 914 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
710,Block Level LSLR,CONSUMER,5925 S CAMPBELL AVE,Completed,,16.0,2025-12-09 00:00:00,Block Level LSLR,60629.0,,,2025.0,12/2025,12-09,5925 S CAMPBELL AVE,766,Block Level LSLR 5925 S CAMPBELL AVE,,,,,,,,,,,,,,,,left_only
711,Breaks & Leaks LSLR,CONSUMER,3114 S GILES AVE,Completed,,4.0,2025-12-09 00:00:00,Breaks Leaks,60616.0,,,2025.0,12/2025,12-09,3114 S GILES AVE,767,Breaks Leaks 3114 S GILES AVE,,,,,,,,,,,,,,,,left_only
712,Breaks & Leaks LSLR,PUBLIC,3114 S GILES AVE,Completed,,4.0,2025-12-09 00:00:00,Breaks Leaks,60616.0,,,2025.0,12/2025,12-09,3114 S GILES AVE,768,Breaks Leaks 3114 S GILES AVE,,,,,,,,,,,,,,,,left_only
713,CIP WM LSLR,PUBLIC,911 N ST LOUIS AVE,Completed,,27.0,2025-12-09 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-09,911 N ST LOUIS AVE,769,CIP Water Main 911 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
714,CIP WM LSLR,CONSUMER,911 N ST LOUIS AVE,Completed,,27.0,2025-12-09 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-09,911 N ST LOUIS AVE,770,CIP Water Main 911 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
715,CIP WM LSLR,PUBLIC,910 N ST LOUIS AVE,Completed,,27.0,2025-12-09 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-09,910 N ST LOUIS AVE,771,CIP Water Main 910 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
716,CIP WM LSLR,CONSUMER,910 N ST LOUIS AVE,Completed,,27.0,2025-12-09 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-09,910 N ST LOUIS AVE,772,CIP Water Main 910 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
717,Breaks & Leaks LSLR,CONSUMER,5009 S CALIFORNIA AVE,Completed,,15.0,2025-12-09 00:00:00,Breaks Leaks,60632.0,,,2025.0,12/2025,12-09,5009 S CALIFORNIA AVE,773,Breaks Leaks 5009 S CALIFORNIA AVE,,,,,,,,,,,,,,,,left_only
718,Breaks & Leaks LSLR,CONSUMER,2301 W 50TH ST,Completed,,15.0,2025-12-08 16:34:00,Breaks Leaks,60609.0,,,2025.0,12/2025,12-08,2301 W 50TH ST,774,Breaks Leaks 2301 W 50TH ST,,,,,,,,,,,,,,,,left_only
719,CIP SM LSLR,CONSUMER,5529 S CARPENTER ST,Completed,,16.0,2025-12-08 12:09:00,CIP Sewer Main,60621.0,,,2025.0,12/2025,12-08,5529 S CARPENTER ST,776,CIP Sewer Main 5529 S CARPENTER ST,,,,,,,,,,,,,,,,left_only
720,Breaks & Leaks LSLR,PUBLIC,11429 S LOWE AVE,Completed,,21.0,2025-12-08 00:00:00,Breaks Leaks,60628.0,,,2025.0,12/2025,12-08,11429 S LOWE AVE,777,Breaks Leaks 11429 S LOWE AVE,,,,,,,,,,,,,,,,left_only
721,Breaks & Leaks LSLR,CONSUMER,11429 S LOWE AVE,Completed,,21.0,2025-12-08 00:00:00,Breaks Leaks,60628.0,,,2025.0,12/2025,12-08,11429 S LOWE AVE,778,Breaks Leaks 11429 S LOWE AVE,,,,,,,,,,,,,,,,left_only
722,Equity LSLR,BOTH AS REQUIRED,4343 S CHRISTIANA AVE,Completed,,12.0,2025-12-08 00:00:00,Equity,60632.0,,,2025.0,12/2025,12-08,4343 S CHRISTIANA AVE,779,Equity 4343 S CHRISTIANA AVE,,,,,,,,,,,,,,,,left_only
723,Block Level LSLR,PUBLIC,5915 S CAMPBELL AVE,Completed,,16.0,2025-12-08 00:00:00,Block Level LSLR,60629.0,,,2025.0,12/2025,12-08,5915 S CAMPBELL AVE,780,Block Level LSLR 5915 S CAMPBELL AVE,,,,,,,,,,,,,,,,left_only
724,Equity LSLR,BOTH AS REQUIRED,2931 W PERSHING RD,Completed,,12.0,2025-12-08 00:00:00,Equity,60632.0,,,2025.0,12/2025,12-08,2931 W PERSHING RD,781,Equity 2931 W PERSHING RD,,,,,,,,,,,,,,,,left_only
725,Breaks & Leaks LSLR,PUBLIC,2301 W 50TH ST,Completed,,15.0,2025-12-08 00:00:00,Breaks Leaks,60609.0,,,2025.0,12/2025,12-08,2301 W 50TH ST,782,Breaks Leaks 2301 W 50TH ST,,,,,,,,,,,,,,,,left_only
726,Block Level LSLR,CONSUMER,5915 S CAMPBELL AVE,Completed,,16.0,2025-12-08 00:00:00,Block Level LSLR,60629.0,,,2025.0,12/2025,12-08,5915 S CAMPBELL AVE,783,Block Level LSLR 5915 S CAMPBELL AVE,,,,,,,,,,,,,,,,left_only
727,CIP WM LSLR,CONSUMER,11328 S VINCENNES AVE,Completed,,19.0,2025-12-08 00:00:00,CIP Water Main,60643.0,,,2025.0,12/2025,12-08,11328 S VINCENNES AVE,785,CIP Water Main 11328 S VINCENNES AVE,,,,,,,,,,,,,,,,left_only
728,CIP WM LSLR,PUBLIC,11328 S VINCENNES AVE,Completed,,19.0,2025-12-08 00:00:00,CIP Water Main,60643.0,,,2025.0,12/2025,12-08,11328 S VINCENNES AVE,786,CIP Water Main 11328 S VINCENNES AVE,,,,,,,,,,,,,,,,left_only
729,CIP WM LSLR,CONSUMER,11325 S VINCENNES AVE,Completed,,21.0,2025-12-08 00:00:00,CIP Water Main,60643.0,,,2025.0,12/2025,12-08,11325 S VINCENNES AVE,787,CIP Water Main 11325 S VINCENNES AVE,,,,,,,,,,,,,,,,left_only
730,Breaks & Leaks LSLR,CONSUMER,920 W NEWPORT AVE,Completed,,44.0,2025-12-08 00:00:00,Breaks Leaks,60657.0,,,2025.0,12/2025,12-08,920 W NEWPORT AVE,788,Breaks Leaks 920 W NEWPORT AVE,,,,,,,,,,,,,,,,left_only
731,Breaks & Leaks LSLR,PUBLIC,920 W NEWPORT AVE,Completed,,44.0,2025-12-08 00:00:00,Breaks Leaks,60657.0,,,2025.0,12/2025,12-08,920 W NEWPORT AVE,789,Breaks Leaks 920 W NEWPORT AVE,,,,,,,,,,,,,,,,left_only
732,CIP WM LSLR,PUBLIC,11325 S VINCENNES AVE,Completed,,21.0,2025-12-08 00:00:00,CIP Water Main,60643.0,,,2025.0,12/2025,12-08,11325 S VINCENNES AVE,790,CIP Water Main 11325 S VINCENNES AVE,,,,,,,,,,,,,,,,left_only
733,Breaks & Leaks LSLR,PUBLIC,5855 W HIGGINS AVE,Completed,,45.0,2025-12-08 00:00:00,Breaks Leaks,60630.0,,,2025.0,12/2025,12-08,5855 W HIGGINS AVE,791,Breaks Leaks 5855 W HIGGINS AVE,,,,,,,,,,,,,,,,left_only
734,Breaks & Leaks LSLR,CONSUMER,5855 W HIGGINS AVE,Completed,,45.0,2025-12-08 00:00:00,Breaks Leaks,60630.0,,,2025.0,12/2025,12-08,5855 W HIGGINS AVE,792,Breaks Leaks 5855 W HIGGINS AVE,,,,,,,,,,,,,,,,left_only
735,Breaks & Leaks LSLR,PUBLIC,6257 61 N LINCOLN AVE,Completed,,50.0,2025-12-08 00:00:00,Breaks Leaks,60659.0,,,2025.0,12/2025,12-08,6257 N LINCOLN AVE,793,Breaks Leaks 6257 N LINCOLN AVE,,,,,,,,,,,,,,,,left_only
736,CIP SM LSLR,PUBLIC,3241 S CANAL ST,Completed,,11.0,2025-12-08 00:00:00,CIP Sewer Main,60616.0,,,2025.0,12/2025,12-08,3241 S CANAL ST,794,CIP Sewer Main 3241 S CANAL ST,,,,,,,,,,,,,,,,left_only
737,Homeowner Initiated LSLR,BOTH AS REQUIRED,2114 N Fremont St,Completed,,41.0,2025-12-08 00:00:00,Homeowner Initiated,60656.0,,,2025.0,12/2025,12-08,2114 N FREMONT ST,795,Homeowner Initiated 2114 N FREMONT ST,,,,,,,,,,,,,,,,left_only
738,Block Level LSLR,PUBLIC,7541 S MARSHFIELD AVE,Completed,,17.0,2025-12-08 00:00:00,Block Level LSLR,60620.0,,,2025.0,12/2025,12-08,7541 S MARSHFIELD AVE,796,Block Level LSLR 7541 S MARSHFIELD AVE,,,,,,,,,,,,,,,,left_only
739,Breaks & Leaks LSLR,CONSUMER,6129 S JUSTINE ST,Completed,,16.0,2025-12-08 00:00:00,Breaks Leaks,60636.0,,,2025.0,12/2025,12-08,6129 S JUSTINE ST,797,Breaks Leaks 6129 S JUSTINE ST,,,,,,,,,,,,,,,,left_only
740,Block Level LSLR,CONSUMER,7541 S MARSHFIELD AVE,Completed,,17.0,2025-12-08 00:00:00,Block Level LSLR,60620.0,,,2025.0,12/2025,12-08,7541 S MARSHFIELD AVE,798,Block Level LSLR 7541 S MARSHFIELD AVE,,,,,,,,,,,,,,,,left_only
741,CIP WM LSLR,CONSUMER,11320 S VINCENNES AVE,Completed,,19.0,2025-12-08 00:00:00,CIP Water Main,60643.0,,,2025.0,12/2025,12-08,11320 S VINCENNES AVE,799,CIP Water Main 11320 S VINCENNES AVE,,,,,,,,,,,,,,,,left_only
742,CIP WM LSLR,PUBLIC,11320 S VINCENNES AVE,Completed,,19.0,2025-12-08 00:00:00,CIP Water Main,60643.0,,,2025.0,12/2025,12-08,11320 S VINCENNES AVE,800,CIP Water Main 11320 S VINCENNES AVE,,,,,,,,,,,,,,,,left_only
743,CIP SM LSLR,CONSUMER,3241 S CANAL ST,Completed,,11.0,2025-12-08 00:00:00,CIP Sewer Main,60616.0,,,2025.0,12/2025,12-08,3241 S CANAL ST,801,CIP Sewer Main 3241 S CANAL ST,,,,,,,,,,,,,,,,left_only
